Company,Ticker,Ex-Date,Event Type,Value/Ratio
Iberdrola,IBE.MC,2016-07-05,Dividend/Bonus Issue,0.03
Iberdrola,IBE.MC,2017-01-05,Dividend/Bonus Issue,0.135
Iberdrola,IBE.MC,2017-07-05,Dividend/Bonus Issue,0.177
Iberdrola,IBE.MC,2018-01-11,Dividend/Bonus Issue,0.14
Iberdrola,IBE.MC,2018-07-09,Dividend/Bonus Issue,0.186
Iberdrola,IBE.MC,2019-01-09,Dividend/Bonus Issue,0.151
Iberdrola,IBE.MC,2019-07-04,Dividend/Bonus Issue,0.2
Iberdrola,IBE.MC,2020-01-09,Dividend/Bonus Issue,0.168
Iberdrola,IBE.MC,2020-07-08,Dividend/Bonus Issue,0.232
Iberdrola,IBE.MC,2021-01-12,Dividend/Bonus Issue,0.168
Iberdrola,IBE.MC,2021-07-08,Dividend/Bonus Issue,0.254
Iberdrola,IBE.MC,2022-01-10,Dividend/Bonus Issue,0.17
Iberdrola,IBE.MC,2022-06-09,Dividend/Bonus Issue,0.005
Iberdrola,IBE.MC,2022-07-08,Dividend/Bonus Issue,0.274
Iberdrola,IBE.MC,2023-01-06,Dividend/Bonus Issue,0.18
Iberdrola,IBE.MC,2023-04-20,Dividend/Bonus Issue,0.005
Iberdrola,IBE.MC,2023-07-07,Dividend/Bonus Issue,0.316
Iberdrola,IBE.MC,2024-01-09,Dividend/Bonus Issue,0.202
Iberdrola,IBE.MC,2024-05-09,Dividend/Bonus Issue,0.005
Iberdrola,IBE.MC,2024-07-04,Dividend/Bonus Issue,0.351
Iberdrola,IBE.MC,2025-01-10,Dividend/Bonus Issue,0.231
Iberdrola,IBE.MC,2025-05-22,Dividend/Bonus Issue,0.005
Iberdrola,IBE.MC,2025-07-04,Dividend/Bonus Issue,0.409
Iberdrola,IBE.MC,2026-01-12,Stock Split,1.0136986301369864
Inditex,ITX.MC,2010-05-03,Dividend/Bonus Issue,0.12
Inditex,ITX.MC,2010-11-02,Dividend/Bonus Issue,0.1362
Inditex,ITX.MC,2011-05-02,Dividend/Bonus Issue,0.16
Inditex,ITX.MC,2011-11-02,Dividend/Bonus Issue,0.16
Inditex,ITX.MC,2012-05-02,Dividend/Bonus Issue,0.18
